HYPOTHESIS,new_column,Random
1,1,0.21064574482986664
1,20,0.21099426660989262
1,11,0.027357836880772646
1,84,0.2511932688957914
1,81,0.3011862660499077
1,18,0.3119221318098382
-1,9,0.944267598510987
1,38,0.04192715372949729
-1,17,0.08026030874831536
1,6,0.8284349138377154
-1,15,0.028175539836657992
-1,7,0.15839779345989158
1,25,0.08325642662896948
1,90,0.8669697147649179
1,43,0.030354046903482312
-1,74,0.948556134525109
1,37,0.8425173818684849
1,23,0.6512532640728859
-1,90,0.041262003876452846
1,51,0.7743285208071352
1,85,0.6461859806368383
1,73,0.009650037191001437
1,39,0.7828483952921835
1,20,0.7130402115080302
-1,15,0.2875423764076974
1,91,0.688270035834687
-1,21,0.6510672960061086
-1,38,0.072223454274436
-1,17,0.7548998293842933
1,89,0.39003564993117124
1,68,0.731951972419631
-1,80,0.9996233079670389
1,12,0.46196991624799877
1,24,0.4058603641552563
-1,54,0.7456934719480991
1,81,0.9494715245539997
1,19,0.7024116349286331
-1,66,0.42316745711647585
1,30,0.9232981846746429
1,70,0.5162731664734875
1,40,0.68457141419525
1,50,0.12165412994377467
1,30,0.7454291353325833
1,40,0.980297615435498
1,83,0.667656747562234
1,91,0.9999021653302019
1,83,0.27913528347855077
-1,46,0.23652556506095757
-1,15,0.23964692247192665
1,41,0.544066699840306
1,31,0.8958850076773132
-1,1,0.9920099099029903
1,91,0.4374935832856043
-1,23,0.6166540437383476
1,90,0.4052435242140907
1,71,0.9468108503850711
1,33,0.6680579108546536
1,97,0.6397944020137531
1,54,0.7569740962505375
1,22,0.6405195077786222
1,40,0.05581377531793874
1,83,0.5952475126964172
1,14,0.12301787080270155
1,94,0.8773382896287216
1,26,0.4905150532966651
1,34,0.5340664744210962
-1,55,0.9693696950510065
-1,54,0.7033243063357517
-1,72,0.8972632193359947
-1,89,0.3969116077312419
1,54,0.37149436848152106
1,21,0.6711738225749614
1,77,0.3533027492167117
1,71,0.01686021236532742
1,22,0.5489165563689545
1,40,0.827368273283493
1,25,0.9313994060049386
1,66,0.5099318680174956
-1,10,0.19835560506930994
-1,15,0.09698182459092675
1,51,0.48231829545100136
1,32,0.24783130588592472
1,87,0.07640472712891877
-1,16,0.5611129299833088
-1,14,0.33713614095050737
1,20,0.012024262433228072
-1,34,0.14513923197244605
1,80,0.6891727043879049
1,70,0.010283216463183198
-1,76,0.3591043552369655
1,73,0.45704187769370996
-1,41,0.6162263676912509
-1,44,0.648344642374048
1,18,0.7939376751697024
1,35,0.04292063613796693
1,81,0.0763806979715349
1,96,0.2969607343744921
1,2,0.07138451420303493
1,22,0.424259736427096
1,2,0.28229256070005526
-1,25,0.8066265267170099
1,68,0.20750469271206684
1,89,0.519492955959081
-1,59,0.2512824385744119
-1,25,0.5091473358144055
1,39,0.7268007013245177
-1,74,0.1096659424677
-1,49,0.054906251160743436
1,44,0.11495314689042202
1,71,0.4561324238633373
1,96,0.19006424089243323
1,52,0.7067517787359808
1,73,0.1690022671785748
1,86,0.6921104953711901
1,50,0.151514326007386
-1,21,0.01595186562608386
1,56,0.7653691691794836
1,68,0.1764481522059751
1,69,0.15422488197060935
1,97,0.8424915820522554
1,52,0.7169859285557216
1,96,0.9841859862386386
-1,78,0.015442238175931933
1,63,0.40964851150729786
-1,60,0.313223447316454
1,45,0.35694294446401353
-1,39,0.8060130472196853
1,31,0.33363386075791357
1,38,0.567427733221005
1,21,0.6345546614910585
1,81,0.2157604383107482
1,14,0.636720272102393
1,71,0.33530505365341856
-1,76,0.9617308578055814
1,20,0.7003996594837545
1,83,0.328843549616068
-1,80,0.6448832295366823
-1,35,0.3686261203217007
-1,55,0.45739161628044533
1,15,0.9338347725659174
1,53,0.42566272805801497
1,82,0.7977298336964616
1,23,0.8683790949432052
1,20,0.9722255380323799
1,45,0.2280684250699907
1,33,0.5738700690336856
1,64,0.3614998443557367
1,2,0.5217500341430822
1,98,0.45048044932577325
1,93,0.682035330522258
-1,47,0.9382132644935027
-1,80,0.8824568512356268
-1,37,0.07449316177554621
1,23,0.43220147886204285
1,55,0.7109844103638461
1,7,0.05213023173423981
1,89,0.7897836484512004
1,15,0.9794160844926155
-1,56,0.2753897097058131
1,98,0.35698933488768514
1,54,0.3504524410898625
1,19,0.9718204427225247
-1,9,0.9817651462008398
1,94,0.015699282725891384
1,84,0.2696149377439806
